Family	Count	Hits	TotMarkerLength
gb|AAA03550_1|ARO_3002523|AAC(2_)-Ia__Providencia_stuartii_	0.0	0	178
gb|AAA16194_1|ARO_3002540|AAC(3)-VIa__Enterobacter_cloacae_	0.0	0	299
gb|AAA16529_1|ARO_3002670|cat__Staphylococcus_aureus_	0.0	0	34
gb|AAA19882_1|ARO_3003562|blaF__Mycobacterium_fortuitum_	0.0	0	174
gb|AAA20116_1|ARO_3000180|tetA(P)__Clostridium_perfringens_	0.0	0	267
gb|AAA20117_1|ARO_3000195|tetB(P)__Clostridium_perfringens_	0.0	0	300
gb|AAA21532_1|ARO_3003559|cepA_beta-lactamase__Bacteroides_fragilis_	1.1878331406144516	7	131
gb|AAA21889_1|ARO_3002554|AAC(6_)-Ig__Acinetobacter_haemolyticus_	0.0	0	47
gb|AAA22081_1|ARO_3002670|cat__Agrobacterium_tumefaciens_str__C58_	0.0	0	62
gb|AAA22277_1|ARO_3003007|bmr__Bacillus_subtilis_	0.0	0	300
gb|AAA22289_1|ARO_3002672|cat86__Bacillus_pumilus_	0.0	0	161
gb|AAA22562_1|ARO_3002878|BcII__Bacillus_cereus_	0.0	0	102
gb|AAA22597_1|ARO_3000495|ErmD__Bacillus_anthracis_	0.0	0	198
gb|AAA22851_1|ARO_3000179|tet(L)__Geobacillus_stearothermophilus_	0.0	0	291
gb|AAA22904_1|ARO_3000578|CcrA_beta-lactamase__Bacteroides_fragilis_	0.0	0	249
gb|AAA23018_1|ARO_3002670|cat__Campylobacter_coli_	7.372757424503491	28	93
gb|AAA23033_2|ARO_3000190|tetO__Campylobacter_jejuni_	48.449548789594374	225	125
gb|AAA23215_1|ARO_3002687|catQ__Clostridium_perfringens_	0.0	2	153
gb|AAA24786_1|ARO_3000368|vanC__Enterococcus_gallinarum_	0.0	0	216
gb|AAA25053_1|ARO_3000884|TEM-12__Klebsiella_oxytoca_	0.0	0	33
gb|AAA25293_1|ARO_3000192|tetS__Listeria_monocytogenes_	0.7555485191359746	8	219
gb|AAA25334_1|ARO_3002543|AAC(3)-IXa__Micromonospora_chalcea_	0.0	0	205
gb|AAA25550_1|ARO_3003105|dfrA3__Plasmid_pAZ1_	0.0	0	117
gb|AAA25655_1|ARO_3002670|cat__Proteus_mirabilis_	0.0	0	91
gb|AAA25680_1|ARO_3002595|AAC(6_)-IIb__Pseudomonas_fluorescens_	0.0	0	131
gb|AAA25682_1|ARO_3002537|AAC(3)-IIIb__Pseudomonas_aeruginosa_	0.0	0	74
gb|AAA25683_1|ARO_3002538|AAC(3)-IIIc__Pseudomonas_aeruginosa_	0.0	0	113
gb|AAA25717_1|ARO_3002624|ANT(4_)-IIa__Pseudomonas_aeruginosa_	0.0	0	231
gb|AAA26412_1|ARO_3002642|APH(3_)-Ib__Plasmid_RP4_	0.0	0	234
gb|AAA26548_1|ARO_3002534|AAC(3)-IIb__Serratia_marcescens_	0.0	0	140
gb|AAA26549_1|ARO_3002549|AAC(6_)-Ic__Serratia_marcescens_	0.0	0	116
gb|AAA26613_1|ARO_3002670|cat__Staphylococcus_aureus_RN4220_	0.0	0	37
gb|AAA26615_1|ARO_3002670|cat__Staphylococcus_intermedius_	0.0	0	33
gb|AAA26683_1|ARO_3002840|vatA__Staphylococcus_aureus_	0.0	0	103
gb|AAA26685_1|ARO_3002542|AAC(3)-VIIIa__Streptomyces_fradiae_	0.0	0	161
gb|AAA26699_1|ARO_3002649|APH(3_)-Va__Streptomyces_fradiae_	0.0	0	78
gb|AAA26742_1|ARO_3001304|ErmS__Streptomyces_fradiae_	0.0	0	220
gb|AAA26775_1|ARO_3003564|EXO_beta-lactamase__Streptomyces_albus_	0.0	0	253
gb|AAA26793|ARO_3003748|oleC__Streptomyces_antibioticus_	0.0	0	32
gb|AAA26832_1|ARO_3002827|tlrC__Streptomyces_fradiae_	0.0	0	300
gb|AAA27471_1|ARO_3000205|tetX__Bacteroides_fragilis_	4.870725915549647	66	245
gb|AAA50325_1|ARO_3003036|oleB__Streptomyces_antibioticus_	0.0	0	300
gb|AAA65953_1|ARO_3002919|vanRA__Enterococcus_faecium_	0.0	0	45
gb|AAA65954_1|ARO_3002931|vanSA__Enterococcus_faecium_	0.0	0	166
gb|AAA65955_1|ARO_3002942|vanHA__Enterococcus_faecium_	0.0	2	158
gb|AAA65956_1|ARO_3000010|vanA__Enterococcus_faecium_	0.0	0	48
gb|AAA65957_1|ARO_3002949|vanXA__Enterococcus_faecium_	0.0	0	69
gb|AAA65958_1|ARO_3002955|vanYA__Enterococcus_faecium_	0.0	0	156
gb|AAA65959_1|ARO_3002962|vanZA__Enterococcus_faecium_	0.0	0	140
